Nr.;Autor;Titel;Format;Inhaltsbeschreibung;Genre;Verlag;Sprache;Zustand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2152;Highsmith, Patricia;Tiefe Wasser;Paperback;;Thriller;Diogenes;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2153;Rosenfeldt & Hjorth;Die Toten, die niemand vermisst;Paperback;;Krimi, Skandinavien;Rowohlt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2154;Cornwell, Patricia;Die Tote ohne Namen;Paperback;Band 6 - Kay Scarpetta;Thriller;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2155;Sandford, John;EisNacht;Paperback;;Thriller;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2156;Yogeshwar, Ranga;Ach so!;Paperback;;Sachbuch;RM;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2157;Horst, Jorn Lier;Jagdhunde;Paperback;;Krimi, Skandinavien;grafit;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2158;Rendell, Ruth;Die Besucherin;Paperback;Inspektor Wexford;Krimi, Britisch;Blanvalet;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2159;Forbes, Collin;Der Code;Hardcover;;Thriller;Europaverlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2160;Follet, Ken;Die Löwen;Hardcover mit Einband;;Thriller, Spionage;Lübbe;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161;Grisham, John;Die Farm;Hardcover mit Einband;;Thriller;RM;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2162;O Brian, Patrick;Kanonen auf hoher See;Paperback;;Abenteuer;Ullstein;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2163;Wustmann, Erich;Die Pelztierjäger von Petsamo;Hardcover;;Abenteuer;Ensslin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2164;Rendell, Ruth;Der Liebe böse Engel;Paperback;Inspektor Wexford;Krimi, Britisch;Blanvalet;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2165;Wolf, Tom;Goldblond - Verheerende Torheit;Paperback;;Krimi, Historie;Berlin Krimi Verlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2166;Grisham, John;Die Erbin;Hardcover;;Thriller, Polit;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2167;Gordon, Noah;Die Klinik;Hardcover mit Einband;;Roman;Bertelsmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2168;Coben, Harlan;In seinen Händen;Paperback;;Thriller;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2169;Hardebusch, Christoph;Sturm Welten;Paperback;;Fantasy;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2170;Crais, Robert;Feuerengel;Paperback;;Thriller;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2171;Christie, Agatha;Der rote Kimono;Paperback;;Krimi, Britisch;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2172;Wallace, Edgar;In den Tod geschickt;Paperback;;Krimi;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2173;Follet, Ken;Mitternachts Falken;Hardcover;;Roman, Historie;Weltbild;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2174;Edwards, Mark;Dir auf der Spur;Paperback;;Thriller;Amazon;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2175;Unger, Lisa;Das Gift der Lüge;Hardcover mit Einband;;Thriller;Page Turner;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2176;Sandford, John;Die Jagdpartie;Paperback;;Thriller;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2177;Irving, Clifford, Luckless John;Mörder Schach;Hardcover mit Einband;;Thriller, Spionage;Moewig;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2178;Pearson, Ridley;Über dem Abgrund;Paperback;;Thriller;Weltbild;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2179;Nabb, Magdalen;Tod im Herbst;Paperback;Guarnaccia - 04;Krimi, Italien;Diogenes;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2180;Nabb, Magdalen;Tod in Florenz;Paperback;Guarnaccia - 05;Krimi, Italien;Diogenes;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2181;Nabb, Magdalen;Tod im Palazzo;Paperback;Guarnaccia - 08;Krimi, Italien;Diogenes;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2182;Nabb, Magdalen;Tod einer Verrückten;Paperback;Guarnaccia - 06;Krimi, Italien;Diogenes;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2183;Nabb, Magdalen;Alta moda;Paperback;Guarnaccia - 11;Krimi, Italien;Diogenes;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2184;Grisham, John;Der Klient;Paperback;;Thriller, Gericht;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2185;Olsen, Morten;Das Kind aus dem Moor;Hardcover mit Einband;;Thriller;Piper;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2186;Hammesfahr, Petra;Der Puppengräber / Lukkas Erbe;Paperback;;Thriller;Rowohlt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2187;James, EL;Shades of Grey - Geheimes Verlangen;Paperback;Teil 1;Liebesroman;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2188;Du Mont, Sky;Fürsten & Fälscher;Paperback;;Krimi;Diana;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2189;Simmel, Johannes Mario;Bis zur bitteren Neige;Hardcover mit Einband;;Roman;Lingen;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2190;Mason, David;Das IRIS-Projekt;Paperback;;Thriller, Polit;Blanvalet;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2191;Jaud, Tommy;Millionär;Paperback;;Humor;Scherz;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2192;Mannel, Beatrix;Schön, schlank und tot;Paperback;;Krimi;Editionnova;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2193;Neville, Katherine;Der magische Zirkel;Paperback;;Thriller;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2194;George, Elizabeth;With No One As Witness;Paperback;Inspektor Linley - 13;Krimi, Britisch;Harper;Englisch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2195;Mankell, Henning;Das Auge des Leoparden;Hardcover;;Krimi, Skandinavien;Paul Zsolnay;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2196;Mankell, Henning;Vor dem Frost;Hardcover;;Krimi, Skandinavien;Paul Zsolnay;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2197;Link, Charlotte;Schattenspiel;Paperback;;Drama;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2198;Meyer, Stephenie;Biss zum Morgengrauen;Paperback;;Liebesroman;Carlsen;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2199;Dye, Dale;Platoon;Paperback;;Roman, Krieg;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2200;Hitchcock, Alfred;Galgenvögel singen nicht;Paperback;;Kurzgeschichten;RTB;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2201;London, Jack;Goldsucher;Paperback;;Abenteuer;Ravensburger;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2202;Konsalik, Heinz;Unternehmen Delphin;Paperback;;Roman;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2203;Cruz-Smith, Martin;Gorki Park;Paperback;;Thriller;Knaur;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2204;Meyer, Stephenie;Biss zur Mittagsstunde;Hardcover mit Einband;;Liebesroman;Carlsen;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2205;Saul, John;Wehe, wenn der Wind weht;Paperback;;Horror;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2206;Haefs, Gisbert;Die Mörder von Kathargo;Hardcover mit Einband;;Historienroman;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2207;Arnoldus, Henri;Bollejan auf heißer Spur;Hardcover;;Kinderbuch;Weichert;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2208;Leutnant X;Geheimagent Lennet jagt das Geisterschiff;Hardcover;Band 7;Kinderbuch;Schneider;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2209;Ernestam, Maria;Mord unter Freunden;Paperback;;Krimi;btb;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2210;Ritzel, Ulrich;Schwemmholz;Paperback;;Krimi, Lokal;btb;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2211;Schütz, Erich;Bombenbrut;Paperback;;Thriller;Gmeiner;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2212;Doyle, Arthur Conan;Sherlock Holmes dan Le Livre de Poche;Paperback;;Krimi;Laffont;Französisch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2213;Beer, Laura;Friesisches Roulette - Schweinekommissar Jacobus ermittelt;Paperback;;Krimi, Lokal;Weltbild;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2214;Hoffman, E.T.A;Phantastische Geschichten;Hardcover mit Einband;;Erzählungen;Langen Müller;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2215;Thomas, Craig;Firefox down;Paperback;;Thriller;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2216;Crombie, Deborah;Alles wird gut;Paperback;;Krimi, Britisch;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2217;Higgins Clark, Mary;Dass du ewig denkst an mich;Paperback;;Roman;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2218;Highsmith, Patricia;Ripley Under Water;Paperback;;Krimi;Diogenes;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2219;Kutscher, Volker;Goldstein;Paperback;3. Fall Gereon Rath;Krimi, Historie;KiWi;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2220;Hawley, Philip;Infektion;Paperback;;Thriller;Fischer;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2221;Marklund, Liza;Prime Time;Paperback;;Krimi, Skandinavien;Rowohlt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2222;Ludlum, Robert;Das Osterman Wochenende;Hardcover mit Einband;;Thriller;Bertelsmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2223;Heffernan, William;Das Ritual;Paperback;;Horror;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2224;Chandler, Raymond;Lebwohl mein Liebling;Paperback;;Krimi;Diogenes;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2225;Apitz, Bruno;Nackt unter Wölfen;Paperback;;Abenteuer;Mitteldeutscher Verlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2226;Stine, R.L.;Schauergeschichten Doppeldecker 1;Paperback;;Horror;Omnibus;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2227;Stine, R.L.;Doppelschocker 4 - Es summt und brummt und sticht / Die Puppe mit dem starren Blick;Paperback;;Horror;Omnibus;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2228;Saint Exupery, Antoine de;Der kleine Prinz;Hardcover mit Einband;;Kinderbuch;Volk und Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2229;Tschaplina, W;Vierbeinige Freunde;Hardcover mit Einband;;Tiergeschichten;Progress Moskau;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2230;Rodian, Fred;Der Märchenschimmel;Hardcover;;Kinderbuch;Kinderbuchverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2231;Hanak, Mirko;Auf dem Hofe tut sich was;Hardcover;;Kinderbuch;Altberliner Verlag Lucie Groszer;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2232;Moric, Rudo;Erzählungen aus dem Wald;Hardcover;;Tiergeschichten;Mlade Leta;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2233;Horak, Jiri;Tschechische Volksmärchen;Hardcover mit Einband;;Märchensammlung;Artia;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2234;Hulpach, Vladimir;Sindbad der Seefahrer;Hardcover mit Einband;;Märchen;Artia;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2235;Kubista Ludek;Aladin und die Wunderlampe;Hardcover mit Einband;;Märchen;Artia;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2236;May, Karl;Old Surehand 1;Hardcover;;Western;Neues Leben;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2237;May, Karl;Old Surehand 2;Hardcover;;Western;Neues Leben;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2238;May, Karl;Old Surehand 3;Hardcover;;Western;Neues Leben;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2239;Ostrowski, Nikolai;Wie der Stahl gehärtet wurde;Hardcover;;Roman;Neues Leben;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2240;Wolkow, Alexander;Der Zauberer der Smaragdenstadt;Hardcover;1. Band;Märchen;Progress Moskau;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2241;Wolkow, Alexander;Der gelbe Nebel;Hardcover;;Märchen;Progress Moskau;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2242;Wolkow, Alexander;Der Feuergott der Maranen;Hardcover;;Märchen;Progress Moskau;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2243;Huby, Felix;König Artus;Hardcover;;Historienroman;Deutscher Bücheriebund;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2244;Walker, Martin;Provokateure;Paperback;7. Fall - Bruno Chef de police;Krimi;Diogenes;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2245;Noll, Ingrid;Die Häupter meiner Lieben;Paperback;;Roman;Diogenes;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2246;Highsmith, Patricia;Das Zittern des Fälschers;Paperback;;Thriller;Diogenes;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2247;Leon, Donna;In Sachen Signora Brunetti;Paperback;Brunetti - 08;Krimi, Italien;Diogenes;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2248;Wolf, Stefan;Alarm im Zirkus Sarani;Paperback;TKKG;Kinderbuch;Pelikan;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2249;Lagerlöf, Selma;Nils Holgersson;Paperback;;Kinderbuch;Dressler;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2250;Hitchcock, Alfred;Die drei ??? Und die rätselhaften Bilder;Hardcover mit Einband;???;Kinderbuch;Franckh;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2251;Hitchcock, Alfred;Die drei ??? Und der seltsame Wecker;Hardcover mit Einband;???;Kinderbuch;Franckh;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2252;Wallace, Edgar;Der schwarze Abt;Hardcover;;Krimi;Bertelsmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2253;Turow, Scott;Befangen;Hardcover;;Thriller, Gericht;Blessing;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2254;Flint, Shamini;Die tödliche Familie Lee;Hardcover;;Krimi;RM Buch und Medien;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2255;Lindgren, Astrid;Kalle Blomquist Komplettausgabe;Hardcover mit Einband;;Kinderbuch;Oetinger;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2256;Roberts, John Maddox;SPQR / Die Catilina-Verschwörung;Paperback;;Krimi, Historie;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2257;King, Stephen;Katzen Auge / Quitters Inc. / Trucks / Kinder des Mais;Paperback;;Horror;Bastei Lübbe;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2258;Bachman, Richard;Menschen-Jagd;Paperback;;Horror;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2259;Neel, Janet;Der leuchtende Engel des Todes;Paperback;;Krimi;Econ;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2260;Silva, Daniel;Der Oligarch;Paperback;;Thriller;Piper;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2261;Lorentz, Iny;Die steinerne Schlange;Paperback;;Historienroman;Knaur;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2262;Regner, Sven;Herr Lehmann;Paperback;;Comedy;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2263;George, Elizabeth;Im Angesicht des Feindes;Hardcover mit Einband;Inspektor Linley - 08;Krimi, Britisch;Blanvalet;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2264;Pullman, Philip;Das magische Messer;Paperback;;Fantasy;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2265;Pullman, Philip;Das Bernstein-Teleskop;Paperback;;Fantasy;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2266;Franz, Andreas;Teufelsleib;Paperback;Peter Brandt - 4. Fall;Krimi, Lokal;Weltbild;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2267;Highsmith, Patricia;Ediths Tagebuch;Paperback;;Thriller, Psycho;Bertelsmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2268;Harris, Robert;Dictator;Paperback;;Roman, Historie;Arrow;Englisch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2269;Fletcher, Jessica;Murder She Wrote - A Palette For Murder;Paperback;;Krimi;Signet;Englisch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2270;King, Stephen;Rose Madder;Paperback;;Horror;Hodder;Englisch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2271;Axl Sund, Erik;Scherben Seele;Paperback;;Thriller, Psycho;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2272;See, Lisa;Die rote Klinge;Paperback;;Thriller;Knaur;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2273;Blunt, Giles;Gefrorene Seelen;Paperback;;Thriller;Weltbild;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2274;Brezina, Thomas;Tiger Team - Der Totenkopf-Helm;Hardcover;Tiger Team - 12;Kinderbuch;Schneider;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2275;Scheffler, Ursel;Kommissar Kugelblitz - Die Moskito Bande (Sieben Ratekrimis);Hardcover;;Kinderbuch;Schneider;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2276;Scheffler, Ursel;Kommissar Kugelblitz - fischt im Internet (Zehn Ratekrimis);Hardcover;;Kinderbuch;Schneider;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2277;Scheffler, Ursel;Kommissar Kugelblitz - Das Phantom läßt grüßen (Sammelband 1);Hardcover;;Kinderbuch;Schneider;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2278;Scheffler, Ursel;Kommissar Kugelblitz - Der Jade-Elefant (Sammelband 4);Hardcover;;Kinderbuch;Schneider;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2279;Janosch;Feuerwehr und Regenauto;Hardcover;;Kinderbuch;Serges;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2280;Paolini, Christopher;Eragon - Die Weisheit des Feuers;Paperback;Eragon - Band 3;Fantasy;cbj;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2281;Konsalik, Heinz;Das Schloß der blauen Vögel;Hardcover mit Einband;;Thriller;Hestia;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2282;McGowan, Kathleen;Das Magdalena Evangelium;Hardcover mit Einband;;Thriller, Mystery;Lübbe;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2283;Bagnol, Jean;Commisaire Mazan und die Erben des Marquis;Paperback;;Kriminalroman;Knaur;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2284;Brezina, Thomas;Grusel Club - 13 Stunden in der Geisterbahn;Hardcover;Grusel Club - 1;Horror;Schneider;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2285;Bernfeld, Rainer;Kommissar Rex - Der maskierte Tod;Paperback;;Krimi;Bastei Lübbe;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2286;Tracy, P.J.;Mortifer;Paperback;;Thriller;Rowohlt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2287;Dübell, Richard;Der Tuchhändler;Paperback;;Krimi, Historie;Bastei Lübbe;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2288;Dibdin, Michael;Schwarzer Trüffel;Paperback;;Krimi;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2289;Robotham, Michael;Um Leben und Tod;Paperback;;Thriller;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2290;Klüpfel, Voker & Kobr, Michael;Schutzpatron;Hardcover mit Einband;Kluftinger - 6. Fall;Krimi, Lokal;Piper;Deutsch;schlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2291;Brezina, Thomas;Treffpunkt Schauermühle;Paperback;Knickerbocker Bande - 05;Kinderbuch;Omnibus;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2292;Brezina, Thomas;Das Phantom in der Schule;Paperback;Knickerbocker Bande - 15;Kinderbuch;Omnibus;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2293;Du Maurier, Daphne;Die Vögel;Paperback;Hitchcock - Verfilmung;Horror;Scherz;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2294;Noll, Ingrid;Ehrenwort;Paperback;;Krimi;Weltbild;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2295;Link, Charlotte;Der Beobachter;Paperback;;Thriller;Blanvalet;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2296;Kinkel, Tanja;Die Puppenspielerin;Paperback;;Roman, Historie;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2297;King, Stephen;Der Turm;Paperback;Der Dunkle Turm - Band 7;Horror;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2298;Fielding, Joy;Im Koma;Paperback;;Thriller, Psycho;Weltbild;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299;Abedi, Isabel;Imago;Paperback;;Fantasy;Arena;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2300;Fielding, Joy;Die Katze;Paperback;;Thriller, Psycho;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2301;Asensi, Matilde;Der verlorene Ursprung;Paperback;;Thriller;List;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2302;King, Stephen;Nachtschicht - 20 Horror Geschichten;Hardcover mit Einband;;Horror;Bastei Lübbe;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2303;Jerry Cotton;Jerry Cotton - Playgirl der Mafia;Paperback;Jerry Cotton;Krimi;Bastei Lübbe;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2304;Jerry Cotton;Jerry Cotton - Komplizin des Satans;Paperback;Jerry Cotton;Krimi;Bastei Lübbe;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2305;Jerry Cotton;Jerry Cotton - Der Guerillero von New York;Paperback;Jerry Cotton;Krimi;Bastei Lübbe;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2306;Jerry Cotton;Jerry Cotton - Tod den Cops / Ein Oscar für den Killer / Killer-Jazz;Paperback;Jerry Cotton;Krimi;Bastei Lübbe;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2307;Jerry Cotton;Jerry Cotton - Sein Name war Capello / Tod im Frisco-Express / Der Schinder;Paperback;Jerry Cotton;Krimi;Bastei Lübbe;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2308;Jerry Cotton;Jerry Cotton - Die Sex Anwältin / Jennifer ein Vamp von 90 Karat / Die Babyhändler;Paperback;Jerry Cotton;Krimi;Bastei Lübbe;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2309;Jerry Cotton;Jerry Cotton - Manhattan-Westdie, Mitternacht / Fünf Finger / Die Unterwasser-Killer;Paperback;Jerry Cotton;Krimi;Bastei Lübbe;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2310;Jerry Cotton;Jerry Cotton - Nächte in Harlem / Lautlos kommt der Tod / Die Rückkehr der Spezialisten;Paperback;Jerry Cotton;Krimi;Bastei Lübbe;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
