Nr.;Autor;Titel;Format;Inhaltsbeschreibung;Genre;Verlag;Sprache;Zustand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;Chandler, Raymond;Die Tote im See;;;Kriminalroman;Volk und Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;Cooper, James Fenimore;Die Prärie;;;Abenteuerbuch;Neues Leben;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;Cooper, James Fenimore;Der letzte Mohikaner;;;Kinderbuch;Xenos;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;Corbishley, Mike;Das Buch vom Eurojpäischen Mittelalter;;;Nachschlagewerk;Arena;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;Courtault, Martine;Im Wilden Westen;;;Nachschlagewerk;Ravensburger;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;Dahl, Roald;Lammkeule und Kuschel Muschel;;;Geschichtensammlung;Volk und Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;David, Kurt;Begegnung mit der Unsterblichkeit;;;Biografie;Kinderbuchverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;Dick, Sieglinde;Sattel im Gepäck;;;Roman;Neues Leben;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;Dickens, Charles;David Copperfield;;;Roman;Neues Leben;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;Diggelmann, Walter Matthias;Das Mädchen im Distelwind;;;Kriminalroman;Neues Leben;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;Disney, Walt;Die liebe Verwandschaft;;;Kinderbuch;Ehapa ;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;Disney, Walt;Die schönsten Hobbies;;;Kinderbuch;Ehapa ;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;Disney, Walt;Gute Nacht Geschichten;;;Kinderbuch;Schneider Buch;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;Disney, Walt;Der König der Löwen;;;Kinderbuch;Schneider Buch;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;Dmitrijew, Juri;Birke, Reh und Schwalbenschwanz;;;Nachschlagewerk;Kinderbuchverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;Dobkiewiczowa, Kornelia;Der Stollen im Eulengebirge;;;Märchen und Erzählungen;;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;Dooly, Elliot;Davy Crockett;;;Kinderbuch;Xenos;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;Doyle, Arthur Conan;Der letzte Streich von Sherlock Holmes;;;Kriminalroman;Kiepenheuer;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
